gvkey,firm_name,year,form,accession_num,amount
6557,LAIDLAW INTERNATIONAL INC,2005,10-K,0000950137-05-013829,blank
6557,LAIDLAW INTERNATIONAL INC,2004,10-K,0000950137-04-010038,blank
31887,RESMED INC,2006,10-K,0001193125-06-189387,"75,000,000"
31887,RESMED INC,2005,10-K,0001193125-05-184704,
155934,SIRVA INC,2004,10-K,0001104659-05-057114,79 million to 103 million
14592,ALLIANCEBERNSTEIN HOLDING L.P.,2005,10-K,0001104659-06-011930,"42,700,000"
14592,ALLIANCE CAPITAL MANAGEMENT HOLDING LP,2004,10-K,0001104659-05-010988,
3835,DEERE &amp; CO,2005,10-K,0001104659-05-061732,only tax cost
3835,DEERE &amp; CO,2004,10-K,0001104659-04-040625,blank
4213,ECOLAB INC,2005,10-K,0001104659-06-012710,"223,000,000"
63637,MILLENNIUM CHEMICALS INC,2004,10-K,0001193125-05-052549,
63637,MILLENNIUM CHEMICALS INC,2003,10-K/A,0001193125-05-029152,"107,000,000"
63637,MILLENNIUM CHEMICALS INC,2005,10-K,0001193125-06-054765,
8479,PEPSICO INC,2005,10-K,0001193125-06-039968,"7,500,000,000"
8479,PEPSICO INC,2004,10-K,0001193125-05-037811,
8479,PEPSICO INC,2005,10-K,0001193125-06-039968,"7,500,000,000"
8479,PEPSICO INC,2004,10-K,0001193125-05-037811,max 7.5 billion
4885,FRANKLIN RESOURCES INC,2005,10-K,0001193125-05-242624,"o to 1,983 million"
4885,FRANKLIN RESOURCES INC,2005,10-K/A,0001193125-06-022263,"0 to 1,983 million"
4885,FRANKLIN RESOURCES INC,2004,10-K,0000038777-04-000612,0 to 1.9 billion
28590,BRINKS CO,2004,10-K,0000078890-05-000014,0 to 10 million
28590,BRINKS CO,2005,10-K,0000078890-06-000012,"49,000,000"
27980,JARDEN CORP,2004,10-K/A,0000950136-05-002455,blank
27980,JARDEN CORP,2004,10-K/A,0000950136-05-002886,
27980,JARDEN CORP,2004,10-K,0000950136-05-001118,
27980,JARDEN CORP,2005,10-K,0001193125-06-049130,"114,000,000"
3439,CONSUMERS ENERGY CO,2004,10-K,0000950124-05-001425,"71,000,000"
3439,CMS ENERGY CORP,2003,10-K/A,0000950124-04-006283,blank
3439,CONSUMERS ENERGY CO,2005,10-K,0000950124-06-000851,"377,000,000"
3439,CMS ENERGY CORP,2005,10-K/A,0000950124-06-003181,"377,000,000"
3439,CMS ENERGY CORP,2004,10-K/A,0000950124-05-004034,"71,000,000"
7409,MILLIPORE CORP /MA,2004,10-K,0001193125-05-052775,0 to 26 million
7409,MILLIPORE CORP /MA,2005,10-K,0001193125-06-055044,"500,000,000"
29028,COSTCO WHOLESALE CORP /NEW,2005,10-K,0001193125-05-223245,
29028,COSTCO WHOLESALE CORP /NEW,2004,10-K,0001193125-04-195535,blank
15084,BURLINGTON RESOURCES INC,2005,10-K,0000950129-06-002048,"500,000,000"
15084,BURLINGTON RESOURCES INC,2004,10-K,0000950129-05-001767,"500,000,000"
8810,PUBLIC SERVICE ENTERPRISE GROUP INC,2004,10-K/A,0001047469-05-011819,blank
8810,PUBLIC SERVICE ENTERPRISE GROUP INC,2004,10-K,0000950117-05-000790,0 to 256 million
8810,PUBLIC SERVICE ENTERPRISE GROUP INC,2005,10-K,0000950117-06-000927,"177,000,000"
61566,IDX SYSTEMS CORP,2004,10-K,0001193125-05-050697,"1,700,000"
8219,OXFORD INDUSTRIES INC,2006,10-K,0000950144-06-007947,"22,900,000"
8219,OXFORD INDUSTRIES INC,2005,10-K,0000950144-05-008828,
1704,APPLIED MATERIALS INC /DE,2004,10-K,0000950134-04-019339,
1704,APPLIED MATERIALS INC /DE,2005,10-K,0000950134-05-023162,"270,000,000"
63800,IMS HEALTH INC,2005,10-K,0001047469-06-002224,"647,000"
155735,AMIS HOLDINGS INC,2004,10-K,0000950124-05-001447,0 to 40 million
155735,AMIS HOLDINGS INC,2005,10-K,0000950124-06-001233,blank
61398,LECROY CORP,2005,10-K,0000890163-05-000460,"23,100,000"
61398,LECROY CORP,2006,10-K,0000890163-06-000611,"23,100,000"
2111,BECTON DICKINSON &amp; CO,2005,10-K,0000950117-05-004677,"1,300,000,000"
2111,BECTON DICKINSON &amp; CO,2004,10-K,0000950117-04-004429,"100,000,000"
65399,ARVINMERITOR INC,2005,10-K,0001206774-05-001868,
65399,ARVINMERITOR INC,2004,10-K,0000950123-04-014830,
2771,CARLISLE COMPANIES INC,2005,10-K,0001104659-06-016056,"23,700,000"
2771,CARLISLE COMPANIES INC,2004,10-K,0001104659-05-010191,25 to 35 million
6376,KELLWOOD CO,2005,10-K/A,0001068800-06-000042,
6376,KELLWOOD CO,2005,10-K/A,0001068800-05-000329,blank
6376,KELLWOOD CO,2005,10-K,0001068800-05-000178,
6376,KELLWOOD CO,2006,10-K,0001068800-06-000204,"160,000"
7250,MENTOR CORP /MN/,2006,10-K,0000064892-06-000023,"32,000,000"
7250,MENTOR CORP /MN/,2005,10-K,0001003297-05-000189,up to 25 million
7250,MENTOR CORP /MN/,2005,10-K/A,0000064892-05-000041,up to 25 million
61567,ESTEE LAUDER COMPANIES INC,2004,10-K/A,0001104659-04-033932,
61567,ESTEE LAUDER COMPANIES INC,2005,10-K,0001104659-05-042689,"500,000,000"
61567,ESTEE LAUDER COMPANIES INC,2006,10-K,0001104659-06-057258,"500,000,000"
7401,MILLER HERMAN INC,2006,10-K,0000950124-06-004085,"45,000,000"
7401,MILLER HERMAN INC,2005,10-K/A,0000926044-06-000148,"45,000,000"
7401,MILLER HERMAN INC,2005,10-K,0000926044-05-000367,"45,000,000"
7065,"MARSH &amp; MCLENNAN COMPANIES, INC.",2004,10-K,0000062709-05-000062,0 to 1.2 billion
7065,"MARSH &amp; MCLENNAN COMPANIES, INC.",2005,10-K,0001145443-06-000555,"585,000,000"
7257,MERCK &amp; CO INC,2004,10-K,0000950123-05-003003,up to 15 billion
7257,MERCK &amp; CO INC,2005,10-K,0000950123-06-003031,"15,900,000,000"
9937,SPECTRUM CONTROL INC,2005,10-K,0001193125-06-039727,"1,078,000"
9937,SPECTRUM CONTROL INC,2004,10-K,0001193125-05-034977,
157858,FREESCALE SEMICONDUCTOR INC,2005,10-K,0001193125-06-028941,"354,000,000"
157858,FREESCALE SEMICONDUCTOR INC,2004,10-K,0001193125-05-040120,
157858,FREESCALE SEMICONDUCTOR INC,2004,10-K,0001193125-05-040120,
165993,"Fidelity National Information Services, Inc.",2005,10-K,0000950134-06-005253,
165993,"Fidelity National Information Services, Inc.",2005,10-K/A,0000892569-06-000615,blank
165993,CERTEGY INC,2004,10-K,0001193125-05-048033,
4087,DUPONT E I DE NEMOURS &amp; CO,2005,10-K,0001047469-06-002614,"9,100,000,000"
4087,DUPONT E I DE NEMOURS &amp; CO,2004,10-K,0001047469-05-005183,up to 10 billion
61763,ELIZABETH ARDEN INC,2005,10-K,0001193125-05-184500,"3,200,000"
61763,ELIZABETH ARDEN INC,2006,10-K,0001193125-06-188740,"3,200,000"
11566,WOLVERINE WORLD WIDE INC /DE/,2005,10-K,0000905729-06-000156,"41,500,000"
11566,WOLVERINE WORLD WIDE INC /DE/,2005,10-K,0000905729-05-000124,max 70 million
64397,AVOCENT CORP,2005,10-K,0001104659-06-014293,"90,000,000"
64397,AVOCENT CORP,2004,10-K,0001104659-05-010863,
157118,TNS INC,2004,10-K,0001047469-05-008536,0 to 15 million
157118,TNS INC,2005,10-K,0001104659-06-017241,"16,100,000"
157118,TNS INC,2005,10-K/A,0001104659-06-048178,"16,100,000"
14477,WASTE MANAGEMENT INC,2004,10-K,0000950129-05-001427,0 to 500 million
14477,WASTE MANAGEMENT INC,2005,10-K,0000950129-06-001649,"496,000,000"
31166,GUIDANT CORP,2004,10-K,0000950134-05-003127,"1,500,000,000"
10816,USG CORP,2005,10-K,0000950134-06-002721,"91,000,000"
10816,USG CORP,2004,10-K,0000950137-05-001958,0 to 50 million
31168,RSA SECURITY INC/DE/,2005,10-K/A,0000950135-06-002198,blank
31168,RSA SECURITY INC/DE/,2004,10-K,0000950135-05-001389,
31168,RSA SECURITY INC/DE/,2005,10-K,0000950135-06-001626,"19,000"
6036,INTERGRAPH CORP,2003,10-K/A,0000950144-04-010733,blank
6036,INTERGRAPH CORP,2004,10-K,0000351145-05-000009,0 to 32.5 million
14412,SOTHEBYS HOLDINGS INC,2004,10-K,0000950117-05-000990,up to 500 million
14412,SOTHEBYS HOLDINGS INC,2005,10-K,0000950117-06-001222,"72,400,000"
25167,MENS WEARHOUSE INC,2005,10-K,0000950129-05-004258,
25167,MENS WEARHOUSE INC,2006,10-K,0000950129-06-003934,"74,700,000"
16721,ELECTRONIC ARTS INC,2006,10-K,0000950134-06-011401,"375,000,000"
16721,ELECTRONIC ARTS INC,2005,10-K,0000891618-05-000406,up to 500 million
65643,FAIRCHILD SEMICONDUCTOR INTERNATIONAL INC,2004,10-K,0000950135-05-001344,up to 500 million
65643,FAIRCHILD SEMICONDUCTOR INTERNATIONAL INC,2005,10-K,0000950135-06-001517,"235,300,000"
6268,JOHNSON CONTROLS INC,2004,10-K,0000950137-04-010523,
6268,JOHNSON CONTROLS INC,2004,10-K/A,0000950137-05-009910,
6268,JOHNSON CONTROLS INC,2005,10-K,0000950137-05-014746,up to 560 million
8762,PROCTER &amp; GAMBLE CO,2006,10-K,0000950152-06-007291,"7,200,000,000"
8762,PROCTER &amp; GAMBLE CO,2005,10-K,0000950152-05-007351,"7,200,000,000"
1878,AUTODESK INC,2005,10-K,0001193125-05-067261,"248,000,000"
1878,AUTODESK INC,2006,10-K,0001193125-06-068809,"512,000,000"
15708,ALLERGAN INC,2004,10-K,0000950137-05-002808,0 to 674
15708,ALLERGAN INC,2005,10-K,0000892569-06-000217,"674,000,000"
30219,BLYTH INC,2006,10-K,0001104659-06-024679,"130,000,000"
30219,BLYTH INC,2005,10-K,0001104659-05-016641,0 to 100 million
4199,EATON CORP,2005,10-K,0000950152-06-001969,66 something
4199,EATON CORP,2004,10-K,0000950152-05-002013,
30477,MATTHEWS INTERNATIONAL CORP,2005,10-K,0000063296-05-000071,"13,700,000"
30477,MATTHEWS INTERNATIONAL CORP,2004,10-K,0000063296-04-000063,blank
6266,JOHNSON &amp; JOHNSON,2006,10-K,0000950123-06-003129,"10,800,000,000"
6266,JOHNSON &amp; JOHNSON,2005,10-K,0000950123-05-003140,"10,800,000,000"
6008,INTEL CORP,2005,10-K,0000891618-06-000089,only tax cost
6008,INTEL CORP,2004,10-K,0001193125-05-033162,475 million max
3121,CLOROX CO /DE/,2005,10-K,0001104659-05-042311,200 something
3121,CLOROX CO /DE/,2006,10-K,0000950134-06-016835,265 something
7116,MATTEL INC /DE/,2004,10-K,0001193125-05-044603,up to 2.4 billion
7116,MATTEL INC /DE/,2005,10-K,0001193125-06-039887,"2,400,000,000"
29392,EASTMAN CHEMICAL CO,2005,10-K,0000915389-06-000017,"321,000,000"
29392,EASTMAN CHEMICAL CO,2004,10-K,0000915389-05-000023,up to 500 million
12540,ADOBE SYSTEMS INC,2004,10-K,0001047469-05-002143,0 to 500 million
12540,ADOBE SYSTEMS INC,2005,10-K,0001047469-06-001601,"558,300,000"
12124,MORGAN STANLEY,2004,10-K,0001193125-05-025463,0 to 4 billion
12124,MORGAN STANLEY,2005,10-K,0001193125-06-028736,"4,000,000,000"
120877,REYNOLDS AMERICAN INC,2004,10-K,0000950144-05-002273,0 to 54 million
120877,REYNOLDS AMERICAN INC,2005,10-K,0000950144-06-001530,"76,000,000"
120877,REYNOLDS AMERICAN INC,2004,10-K/A,0000950144-05-005767,0 to 54 million
120444,WESCO INTERNATIONAL INC,2005,10-K,0000950152-06-002136,"23,000,000"
120444,WESCO INTERNATIONAL INC,2004,10-K,0000950152-05-001807,blank
28214,INTERPOOL INC,2005,10-K,0000899681-06-000184,"305,000,000"
28214,INTERPOOL INC,2004,10-K,0000899681-05-000274,
28214,INTERPOOL INC,2004,10-K/A,0000899681-05-000691,
